case_id,number_of_vehicles,striker_damage_area,victim_damage_area,striker_rotation,victim_rotation,striker_degrees,vicitm_degrees,striker_facing,victim_facing,striker_destination_lane,victim_destination_lane
2007043699712,1,Front,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007043699746,1,Undercarriage,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007043699751,1,Left Side,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007043699766,2,Front,Left Side,default,default,default,default,initialdirection,initialdirection,default,default
2007043699791,2,Front,Front,clockwise,default,90,default,initialdirection,west,default,default
2007043699792,2,Front,Back,default,default,default,default,northeast,initialdirection,default,default
2007043699806,2,Front,Left Side,default,default,default,default,initialdirection,initialdirection,default,default
2007043699812,2,Front,Left Side,default,default,default,default,initialdirection,initialdirection,default,default
2007043699847,2,Front,Left Side,default,clockwise,default,200,initialdirection,initialdirection,innerzone,innerzone
2007043699851,2,Front,Right Side,default,clockwise,default,90,initialdirection,west,default,default
2007043699852,1,Front,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007043699884,4,Front,Front,default,clockwise,default,default,initialdirection,initialdirection,innerzone,innerzone
2007043699886,1,Front,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007043699889,1,Front,Not a motor vehicle,default,default,default,default,southwest,initialdirection,default,default
2007043699891,2,Right Side,Left Side,default,default,default,default,south,initialdirection,default,default
2007043699911,2,Front,Front,default,default,default,default,initialdirection,south,innerzone,innerzone
2007043699912,2,Left Side,Front,clockwise,default,180,default,south,initialdirection,default,default
2007043699927,3,Front,Front,default,default,default,default,initialdirection,initialdirection,default,default
2007043699944,2,Front,Left Side,default,default,default,default,initialdirection,southwest,default,default
2007043699966,2,Front,Right Side,clockwise,default,90,default,initialdirection,initialdirection,default,default
2007043699971,2,Back,Front,default,default,default,default,initialdirection,initialdirection,default,default
2007043699986,1,Left Side,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007043699991,2,Front,Left Side,default,default,default,default,initialdirection,initialdirection,default,default
2007043710004,2,Front,Front,default,default,default,default,initialdirection,initialdirection,innerzone,innerzone
2007043710044,3,Right Side,Front,default,default,default,default,initialdirection,initialdirection,innerzone,innerzone
2007043710046,2,Left Side,Front,clockwise,default,default,default,initialdirection,initialdirection,default,default
2007043710084,2,Front,Left Side,default,clockwise,default,180,initialdirection,initialdirection,default,default
2007043710086,2,Front,Right Side,default,default,default,default,northwest,northeast,default,default
2007043710091,2,Front,Right Side,default,clockwise,default,default,northwest,south,default,default
2007043710126,2,Right Side,Front,clockwise,default,default,default,east,south,default,default
2007043710145,2,Front,Right Side,clockwise,clockwise,default,default,east,north,default,default
2007043710146,2,Front,Right Side,default,default,default,default,initialdirection,north,default,default
2007043710165,2,Front,Left Side,default,clockwise,default,default,initialdirection,south,default,default
2007043710166,3,Front,Right Side,default,clockwise,default,90,initialdirection,south,default,default
2007043710186,1,Left Side,Not a motor vehicle,default,default,default,default,south,initialdirection,default,default
2007043710191,2,Front,Left Side,default,default,default,default,south,south,default,default
2007043710225,1,Front,Not a motor vehicle,default,default,default,default,north,initialdirection,default,default
2007043710248,2,Right Side,Front,default,default,default,default,north,east,default,default
2007043710249,2,Front,Back,default,default,default,default,initialdirection,initialdirection,default,default
2007043710264,2,Front,Right Side,clockwise,clockwise,default,default,north,southeast,default,default
2007043710269,2,Front,Front,clockwise,default,default,default,northeast,northeast,innerzone,innerzone
2007043710286,1,Noncollision,Noncollision,default,default,default,default,initialdirection,initialdirection,default,default
2007043710291,3,Front,Right Side,clockwise,default,180,default,west,northwest,default,default
2007043710309,3,Front,Right Side,default,default,default,default,south,initialdirection,innerzone,innerzone
2007043710310,1,Front,Not a motor vehicle,clockwise,default,default,default,north,initialdirection,default,default
2007043710325,2,Left Side,Front,default,default,default,default,initialdirection,initialdirection,innerzone,innerzone
2007043710351,2,Front,Back,default,clockwise,default,default,east,southwest,default,default
2007043710385,2,Front,Right Side,default,clockwise,default,default,southeast,northwest,default,default
2007043710386,1,Left Side,Not a motor vehicle,default,default,default,default,west,initialdirection,default,default
2007043710390,1,Right Side,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007043710391,2,Front,Right Side,default,clockwise,default,default,east,south,default,default
2007043710411,2,Front,Left Side,default,default,default,default,northeast,initialdirection,default,default
2007043710412,1,Front,Not a motor vehicle,clockwise,default,default,default,southeast,initialdirection,default,default
2007043710426,1,Noncollision,Noncollision,default,default,default,default,initialdirection,initialdirection,default,default
2007043710432,4,Front,Left Side,default,default,default,default,initialdirection,initialdirection,default,default
2007043710445,3,Front,Right Side,default,clockwise,default,default,initialdirection,north,default,default
2007043710470,1,Left Side,Not a motor vehicle,clockwise,default,default,default,north,initialdirection,default,default
2007043710471,1,Right Side,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007043710485,3,Right Side,Left Side,default,default,default,default,initialdirection,initialdirection,innerzone,innerzone
2007043710492,1,Undercarriage,Not a motor vehicle,default,default,default,default,south,initialdirection,default,default
2007043710510,2,Front,Left Side,default,default,default,default,southeast,east,default,default
2007043710513,2,Front,Left Side,clockwise,default,default,default,west,initialdirection,default,default
2007043710514,2,Front,Left Side,default,default,default,default,northwest,initialdirection,innerzone,innerzone
2007043710526,2,Front,Left Side,clockwise,default,default,default,southeast,initialdirection,default,default
2007043710527,2,Front,Left Side,default,default,default,default,southeast,initialdirection,default,default
2007043710551,1,Front,Not a motor vehicle,clockwise,default,default,default,west,initialdirection,default,default
2007043710552,3,Front,Back,default,clockwise,default,default,west,west,default,default
2007043710565,2,Right Side,Front,clockwise,default,default,default,southeast,north,default,default
2007043710591,2,Front,Back,default,default,default,default,initialdirection,east,default,default
2007043710611,3,Front,Back,default,default,default,default,initialdirection,initialdirection,default,default
2007043710626,2,Front,Left Side,default,default,default,default,south,south,innerzone,innerzone
2007043710631,2,Right Side,Front,default,default,default,default,initialdirection,initialdirection,default,default
2007043710671,1,Left Side,Not a motor vehicle,default,default,default,default,northwest,initialdirection,default,default
2007043710685,2,Front,Right Side,default,default,default,default,north,east,default,default
2007043710691,1,Right Side,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007043710692,3,Left Side,Right Side,default,default,default,default,initialdirection,initialdirection,default,default
2007043710693,2,Front,Back,default,default,default,default,initialdirection,initialdirection,innerzone,innerzone
2007043710725,1,Front,Not a motor vehicle,default,default,default,default,southeast,initialdirection,default,default
2007043710731,2,Front,Back,default,default,default,default,initialdirection,south,innerzone,innerzone
2007043710747,2,Front,Left Side,clockwise,clockwise,default,default,southwest,southeast,default,default
2007043710751,1,Left Side,Not a motor vehicle,clockwise,default,default,default,south,initialdirection,default,default
2007043710771,1,Right Side,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007043710772,2,Front,Back,default,default,default,default,initialdirection,initialdirection,default,default
2007043710786,2,Front,Right Side,default,default,default,default,southwest,initialdirection,default,default
2007043710793,1,Left Side,Not a motor vehicle,default,default,default,default,northwest,initialdirection,default,default
2007043710811,2,Front,Right Side,clockwise,clockwise,default,90,south,west,innerzone,innerzone
2007043710826,1,Top,Noncollision,default,default,default,default,initialdirection,initialdirection,default,default
2007043710831,2,Front,Front,default,clockwise,default,default,east,southeast,default,default
2007043710849,2,Front,Right Side,default,default,default,default,initialdirection,west,default,default
2007043710866,1,Top,Noncollision,default,default,default,default,south,initialdirection,default,default
2007043710871,2,Front,Left Side,default,default,default,default,east,east,default,default
2007043710872,2,Front,Left Side,default,clockwise,default,default,east,west,default,default
2007043710885,2,Front,Front,default,default,default,default,initialdirection,initialdirection,innerzone,innerzone
2007043710888,1,Right Side,Not a motor vehicle,clockwise,default,default,default,north,initialdirection,innerzone,innerzone
2007043710892,2,Left Side,Front,clockwise,default,default,default,east,west,default,default
2007043710906,2,Left Side,Front,default,default,default,default,southeast,northwest,innerzone,innerzone
2007043710924,2,Front,Left Side,default,clockwise,default,default,initialdirection,east,default,default
2007043710931,2,Front,Right Side,clockwise,default,default,default,west,west,default,default
2007043710946,2,Front,Back,default,clockwise,default,default,west,initialdirection,default,default
2007043710964,2,Front,Front,default,default,default,default,initialdirection,initialdirection,default,default
2007043710968,1,Front,Not a motor vehicle,clockwise,default,default,default,west,initialdirection,default,default
2007043731006,1,Front,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007043731011,1,Left Side,Not a motor vehicle,clockwise,default,default,default,initialdirection,initialdirection,default,default
2007043731026,2,Front,Back,default,default,default,default,initialdirection,initialdirection,default,default
2007043731071,1,Undercarriage,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007043731111,2,Right Side,Front,default,default,default,default,initialdirection,initialdirection,default,default
2007043731151,2,Left Side,Front,default,default,default,default,initialdirection,initialdirection,default,default
2007043731152,2,Front,Front,default,default,default,default,initialdirection,initialdirection,default,default
2007043731171,1,Front,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007043731187,2,Front,Right Side,default,default,default,default,initialdirection,initialdirection,default,default
2007043731228,2,Right Side,Front,default,default,default,default,initialdirection,initialdirection,default,default
2007043731231,1,Front,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007043731250,2,Front,Right Side,default,default,default,default,initialdirection,initialdirection,innerzone,innerzone
2007043731251,1,Right Side,Noncollision,default,default,default,default,initialdirection,initialdirection,default,default
2007043731289,1,Front,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007043731290,1,Top,Noncollision,default,default,default,default,initialdirection,initialdirection,default,default
2007043731311,2,Left Side,Right Side,default,default,default,default,initialdirection,initialdirection,default,default
2007043731330,2,Front,Right Side,default,default,default,default,initialdirection,initialdirection,default,default
2007043731331,2,Left Side,Front,default,default,default,default,initialdirection,initialdirection,default,default
2007043731370,2,Front,Right Side,default,default,default,default,initialdirection,initialdirection,default,default
2007043731371,2,Front,Back,default,default,default,default,initialdirection,initialdirection,default,default
2007043731410,1,Front,Not a motor vehicle,clockwise,default,default,default,east,initialdirection,default,default
2007043731450,1,Front,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,innerzone,innerzone
2007043731511,1,Front,Not a motor vehicle,clockwise,default,default,default,south,initialdirection,default,default
2007043731530,2,Left Side,Front,default,default,default,default,initialdirection,initialdirection,default,default
2007043731551,1,Front,Not a motor vehicle,clockwise,default,default,default,initialdirection,initialdirection,default,default
2007043731571,1,Noncollision,Noncollision,default,default,default,default,initialdirection,initialdirection,default,default
2007043731572,1,Right Side,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007043731591,1,Front,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007043731651,1,Left Side,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007043731652,2,Back,Front,default,default,default,default,initialdirection,initialdirection,default,default
2007043731705,1,Front,Not a motor vehicle,clockwise,default,default,default,initialdirection,initialdirection,default,default
2007043731711,2,Front,Back,default,default,default,default,initialdirection,initialdirection,innerzone,innerzone
2007043731726,1,Top,Noncollision,default,default,default,default,initialdirection,initialdirection,default,default
2007043731731,1,Front,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007043731767,2,Back,Front,default,default,default,default,east,initialdirection,default,default
2007043731771,1,Front,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007043731811,1,Front,Not a motor vehicle,default,default,default,default,southwest,initialdirection,default,default
2007043731831,2,Front,Right Side,default,default,default,default,initialdirection,initialdirection,default,default
2007043731846,2,Front,Front,default,default,default,default,initialdirection,initialdirection,default,default
2007043731887,1,Front,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007043731926,2,Front,Front,default,default,default,default,initialdirection,initialdirection,default,default
2007043731951,2,Left Side,Front,default,default,default,default,initialdirection,initialdirection,default,default
2007043731967,3,Front,Right Side,default,default,default,default,initialdirection,initialdirection,default,default
2007045403028,3,Front,Right Side,clockwise,default,default,default,east,southwest,default,default
2007045403068,2,Front,Bk of unit with cargo area-rear of trailer or straight truck,default,default,default,default,initialdirection,initialdirection,default,default
2007045403128,2,Front,Right Side,default,clockwise,default,default,northwest,initialdirection,default,default
2007045403168,2,Front,Left Side,default,default,default,default,northeast,initialdirection,default,default
2007045403208,3,Front,Back,default,default,default,default,west,west,default,default
2007045403229,1,Noncollision,Noncollision,default,default,default,default,initialdirection,initialdirection,default,default
2007045403248,3,Front,Back,default,clockwise,default,default,west,west,default,default
2007045403269,3,Front,Back,default,clockwise,default,default,initialdirection,southeast,default,default
2007045403328,1,Front,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007045403348,1,Front,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007045403368,2,Right Side,Left Side,default,clockwise,default,default,south,south,default,default
2007045403386,2,Left Side,Front,default,clockwise,default,default,initialdirection,south,default,default
2007045403388,2,Front,Back,default,default,default,default,east,east,default,default
2007045403407,1,Front,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007045403428,2,Left Side,Front,clockwise,default,default,default,west,north,default,default
2007045403446,2,Front,Left Side,default,clockwise,default,default,initialdirection,west,default,default
2007045403468,3,Front,Back,clockwise,default,default,default,south,east,default,default
2007045403486,1,Front,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007045403506,2,Front,Left Side,default,default,default,default,initialdirection,initialdirection,default,default
2007045403508,2,Unknown,Left Side,default,clockwise,default,default,initialdirection,initialdirection,default,default
2007045403527,2,Left Side,Front,default,default,default,default,northwest,initialdirection,default,default
2007045403528,1,Front,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007045403548,2,Front,Back,default,default,default,default,west,west,default,default
2007045403586,2,Front,Right Side,default,default,default,default,initialdirection,initialdirection,default,default
2007045403606,2,Front,Left Side,default,default,default,default,initialdirection,initialdirection,default,default
2007045403646,2,Front,Left Side,default,default,default,default,north,west,default,default
2007045403686,2,Right Side,Front,default,clockwise,default,default,south,southeast,default,default
2007045403726,3,Front,Back,default,default,default,default,west,west,default,default
2007045403766,1,Front,Not a motor vehicle,clockwise,default,default,default,initialdirection,initialdirection,default,default
2007045403826,1,Front,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007045403866,3,Right Side,Front,clockwise,default,default,default,east,west,innerzone,innerzone
2007045403868,2,Front,Back,default,default,default,default,initialdirection,initialdirection,default,default
2007045403887,2,Front,Right Side,default,clockwise,default,default,northeast,south,default,default
2007045403927,1,Undercarriage,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007045403967,2,Front,Back,default,clockwise,default,default,west,northeast,default,default
2007045403987,2,Front,Front,clockwise,default,default,default,north,west,default,default
2007045403989,2,Left Side,Left Side,clockwise,default,default,default,west,east,default,default
2007045705007,2,Front,Right Side,default,default,default,default,initialdirection,initialdirection,innerzone,innerzone
2007045705008,2,Left Side,Front,default,default,default,default,east,east,default,default
2007045705031,1,Right Side,Noncollision,default,default,default,default,initialdirection,initialdirection,default,default
2007045705048,2,Front,Back,default,default,default,default,initialdirection,initialdirection,default,default
2007045705071,2,Front,Right Side,default,default,default,default,south,south,default,default
2007045705088,2,Front,Back,default,default,default,default,initialdirection,initialdirection,default,default
2007045705091,1,Right Side,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007045705108,2,Front,Front,default,clockwise,default,default,south,west,default,default
2007045705111,2,Front,Right Side,clockwise,clockwise,120,80,southwest,northeast,default,default
2007045705148,3,Front,Right Side,default,default,default,default,west,southeast,default,default
2007045705151,1,Front,Not a motor vehicle,clockwise,default,default,default,initialdirection,initialdirection,default,default
2007045705152,2,Front,Left Side,default,clockwise,default,default,east,west,default,default
2007045705172,2,Front,Right Side,default,default,default,default,initialdirection,north,default,default
2007045705188,2,Front,Left Side,clockwise,default,15,default,initialdirection,initialdirection,default,default
2007045705192,2,Front,Front,default,clockwise,default,180,northeast,north,default,default
2007045705212,3,Front,Right Side,default,clockwise,default,default,east,initialdirection,default,default
2007045705228,2,Right Side,Left Side,default,default,default,default,initialdirection,west,default,default
2007045705230,2,Front,Left Side,default,default,default,default,initialdirection,initialdirection,default,default
2007045705254,2,Front,Left Side,default,default,default,default,north,north,default,default
2007045705268,1,Left Side,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007045705272,1,Undercarriage,Noncollision,default,default,default,default,initialdirection,initialdirection,default,default
2007045705288,2,Front,Left Side,clockwise,default,default,default,southwest,initialdirection,default,default
2007045705308,3,Front,Back,default,default,default,default,initialdirection,initialdirection,default,default
2007045705332,2,Front,Left Side,default,default,default,default,south,east,default,default
2007045705354,2,Front,Back,default,default,default,default,initialdirection,initialdirection,default,default
2007045705392,1,Front,Not a motor vehicle,clockwise,default,default,default,initialdirection,initialdirection,default,default
2007045705406,2,Front,Right Side,clockwise,default,90,default,southeast,northwest,default,default
2007045705408,2,Front,Left Side,default,counterclockwise,default,default,initialdirection,southeast,innerzone,innerzone
2007045705412,1,Left Side,Not a motor vehicle,clockwise,default,default,default,northeast,initialdirection,default,default
2007045705426,1,Left Side,Not a motor vehicle,default,default,default,default,east,initialdirection,default,default
2007045705429,1,Undercarriage,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007045705432,3,Front,Right Side,clockwise,default,default,default,northeast,west,default,default
2007045705448,1,Front,Not a motor vehicle,default,default,default,default,southeast,initialdirection,default,default
2007045705454,2,Front,Right Side,default,default,default,default,south,initialdirection,default,default
2007045705466,2,Front,Left Side,default,default,default,default,initialdirection,south,default,default
2007045705473,1,Right Side,Not a motor vehicle,clockwise,default,default,default,northwest,initialdirection,default,default
2007045705488,2,Front,Right Side,clockwise,default,default,default,northwest,northwest,default,default
2007045705493,2,Front,Right Side,default,default,default,default,northeast,northeast,default,default
2007045705526,2,Front,Right Side,clockwise,default,90,default,east,north,default,default
2007045705528,2,Front,Right Side,clockwise,clockwise,default,100,west,southeast,default,default
2007045705533,2,Front,Left Side,default,default,default,default,northeast,initialdirection,default,default
2007045705546,2,Front,Left Side,default,default,default,default,west,northwest,default,default
2007045705566,1,Front,Not a motor vehicle,clockwise,default,default,default,north,initialdirection,default,default
2007045705568,1,Right Side,Noncollision,default,default,default,default,initialdirection,initialdirection,default,default
2007045705573,2,Front,Left Side,clockwise,clockwise,20,90,north,north,default,default
2007045705588,2,Front,Front,clockwise,clockwise,default,30,southwest,south,default,default
2007045705594,2,Front,Front,default,default,default,default,initialdirection,initialdirection,default,default
2007045705613,1,Front,Not a motor vehicle,default,default,default,default,southwest,initialdirection,default,default
2007045705626,2,Front,Left Side,default,clockwise,default,default,initialdirection,initialdirection,default,default
2007045705628,1,Top,Noncollision,default,default,default,default,initialdirection,initialdirection,default,default
2007045705649,1,Top,Noncollision,default,default,default,default,initialdirection,initialdirection,default,default
2007045705653,2,Front,Left Side,clockwise,default,95,default,north,initialdirection,default,default
2007045705666,2,Front,Back,default,default,default,default,initialdirection,initialdirection,default,default
2007045705687,2,Front,Right Side,default,clockwise,default,default,northeast,southwest,default,default
2007045705689,2,Front,Left Side,default,default,default,default,initialdirection,initialdirection,default,default
2007045705693,1,Front,Not a motor vehicle,default,default,default,default,north,initialdirection,default,default
2007045705706,2,Front,Bk of unit with cargo area-rear of trailer or straight truck,default,default,default,default,initialdirection,initialdirection,default,default
2007045705746,1,Right Side,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007045705749,2,Right Side,Left Side,default,default,default,default,south,south,default,default
2007045705753,2,Front,Right Side,default,default,default,default,southwest,southwest,default,default
2007045705770,1,Front,Not a motor vehicle,default,default,default,default,initialdirection,initialdirection,default,default
2007045705775,2,Front,Back,default,default,default,default,initialdirection,initialdirection,default,default
2007045705786,2,Front,Right Side,clockwise,clockwise,default,90,north,east,default,default
2007045705792,1,Undercarriage,Not a motor vehicle,clockwise,default,default,default,west,initialdirection,default,default
2007045705795,2,Front,Back,default,default,default,default,initialdirection,initialdirection,default,default
2007045705797,1,Left Side,Not a motor vehicle,clockwise,default,1995,default,northeast,initialdirection,default,default
2007045705806,2,Front,Left Side,default,clockwise,default,40,northwest,northwest,default,default
2007045705830,2,Front,Front,default,default,default,default,northwest,northwest,default,default
2007045705832,2,Front,Left Side,default,default,default,default,initialdirection,northeast,default,default
2007045705846,2,Front,Right Side,default,default,default,default,initialdirection,initialdirection,default,default
2007045705851,3,Front,Back,default,default,default,default,north,northwest,innerzone,innerzone
